episode,step,episodic reward,success rate,episodic length
18,3060,1.9637736928345073,0.5,47
18,3065,1.9637736928345073,0.5,52
18,3070,1.9637736928345073,0.5,57
18,3075,1.9637736928345073,0.5,62
18,3080,1.9637736928345073,0.5,67
18,3085,1.9637736928345073,0.5,72
18,3090,1.9637736928345073,0.5,77
18,3095,1.9637736928345073,0.5,82
18,3100,1.9637736928345073,0.5,87
18,3105,1.9637736928345073,0.5,92
18,3110,1.9637736928345073,0.5,97
18,3115,1.9637736928345073,0.5,102
18,3120,1.9637736928345073,0.5,107
18,3125,1.9637736928345073,0.5,112
18,3130,1.9637736928345073,0.5,117
18,3135,1.9637736928345073,0.5,122
18,3140,1.9637736928345073,0.5,127
18,3145,1.9637736928345073,0.5,132
18,3150,1.9637736928345073,0.5,137
18,3155,1.9637736928345073,0.5,142
18,3160,1.9637736928345073,0.5,147
18,3165,1.9637736928345073,0.5,152
18,3170,1.9637736928345073,0.5,157
18,3175,1.9637736928345073,0.5,162
18,3180,1.9637736928345073,0.5,167
18,3185,1.9637736928345073,0.5,172
18,3190,1.9637736928345073,0.5,177
18,3195,1.9637736928345073,0.5,182
18,3200,1.9637736928345073,0.5,187
18,3205,1.9637736928345073,0.5,192
18,3210,1.9637736928345073,0.5,197
18,3215,1.9637736928345073,0.5,202
18,3220,1.9637736928345073,0.5,207
18,3225,1.9637736928345073,0.5,212
18,3230,1.9637736928345073,0.5,217
18,3235,1.9637736928345073,0.5,222
18,3240,1.9637736928345073,0.5,227
18,3245,1.9637736928345073,0.5,232
18,3250,1.9637736928345073,0.5,237
18,3255,1.9637736928345073,0.5,242
18,3260,1.9637736928345073,0.5,247
18,3265,1.9637736928345073,0.5,252
18,3270,1.9637736928345073,0.5,257
18,3275,1.9637736928345073,0.5,262
18,3280,1.9637736928345073,0.5,267
18,3285,1.9637736928345073,0.5,272
18,3290,1.9637736928345073,0.5,277
18,3295,1.9637736928345073,0.5,282
18,3300,1.9637736928345073,0.5,287
19,3305,2.3468855660069083,0.55,1
19,3310,2.3468855660069083,0.55,6
19,3315,2.3468855660069083,0.55,11
19,3320,2.3468855660069083,0.55,16
19,3325,2.3468855660069083,0.55,21
19,3330,2.3468855660069083,0.55,26
19,3335,2.3468855660069083,0.55,31
19,3340,2.3468855660069083,0.55,36
19,3345,2.3468855660069083,0.55,41
19,3350,2.3468855660069083,0.55,46
19,3355,2.3468855660069083,0.55,51
19,3360,2.3468855660069083,0.55,56
19,3365,2.3468855660069083,0.55,61
19,3370,2.3468855660069083,0.55,66
19,3375,2.3468855660069083,0.55,71
19,3380,2.3468855660069083,0.55,76
19,3385,2.3468855660069083,0.55,81
19,3390,2.3468855660069083,0.55,86
19,3395,2.3468855660069083,0.55,91
19,3400,2.3468855660069083,0.55,96
19,3405,2.3468855660069083,0.55,101
19,3410,2.3468855660069083,0.55,106
19,3415,2.3468855660069083,0.55,111
19,3420,2.3468855660069083,0.55,116
19,3425,2.3468855660069083,0.55,121
19,3430,2.3468855660069083,0.55,126
19,3435,2.3468855660069083,0.55,131
19,3440,2.3468855660069083,0.55,136
19,3445,2.3468855660069083,0.55,141
19,3450,2.3468855660069083,0.55,146
19,3455,2.3468855660069083,0.55,151
19,3460,2.3468855660069083,0.55,156
19,3465,2.3468855660069083,0.55,161
19,3470,2.3468855660069083,0.55,166
19,3475,2.3468855660069083,0.55,171
19,3480,2.3468855660069083,0.55,176
19,3485,2.3468855660069083,0.55,181
19,3490,2.3468855660069083,0.55,186
19,3495,2.3468855660069083,0.55,191
19,3500,2.3468855660069083,0.55,196
19,3505,2.3468855660069083,0.55,201
19,3510,2.3468855660069083,0.55,206
19,3515,2.3468855660069083,0.55,211
19,3520,2.3468855660069083,0.55,216
19,3525,2.3468855660069083,0.55,221
19,3530,2.3468855660069083,0.55,226
19,3535,2.3468855660069083,0.55,231
19,3540,2.3468855660069083,0.55,236
19,3545,2.3468855660069083,0.55,241
19,3550,2.3468855660069083,0.55,246
19,3555,2.3468855660069083,0.55,251
19,3560,2.3468855660069083,0.55,256
